business_id,compliment_count,qtde
-1CI4H3DLkI-NdWLbIae6g,0,1
-1HW4ALuB331RgjwHOA0Nw,0,1
-1Jq9x77Es6Ce1EJM4WhwQ,1,15
-1MVd6ljY2JT6gCKnrc-uw,0,1
-1NPtXJaDSoqxQPxt3rg3Q,0,2
-1PwcnMwaztBRKah7lrWBg,0,1
-1UMR00eXtwaeh59pEiDjA,1,50
-1Uje0qrwHNo9EFe7PMAcw,0,1
-1VaIJza42Hjev6ukacCNg,2,52
-1dMU2kz5AhTC6N1W9xwuQ,0,11
-1fwceFQw5NAemdPRrhP0g,0,1
-1m9o3vGRA8IBPNvNqKLmA,0,22
-1mjIwXWiI1uzy-8nGkdkw,0,1
-1sjyJNHTqFgM7GZGK7L7A,0,1
-1u4Q4U6OZ-CvqoxUh7gKg,0,1
-1uVyyy3UXNA9WoPucNniA,0,12
-1vfRrlnNnNJ5boOVghMPA,0,25
-1vulUmD1pYf0uvXBY1Fzg,1,5
-1xCh7Cocn6IwFzhELyohA,0,5
-1xuC540Nycht_iWFeJ-dw,0,64
-20PsGUoi0cK3hKwtFoh2w,0,2
-20nZ6ztmBxGW4sOY7JPHA,0,1
-25X5v1q3WU6s-craJSvTw,0,6
-28hEE6AcAUbJctGwvC9kw,0,2
-2A9emZwBK8zYHPnAmM0hw,0,2
-2AQs-KdwG5QCwGBSsDoCA,0,4
-2Arz8twKJmxHMS3Sv-TeA,0,4
-2C96suwzrE_cqI1U69cLA,0,16
-2EAyppKR_2xuLyvJZEbRQ,0,2
-2FD5ANi-Hs6qEhYqsQLaQ,0,4
-2KAjVCxfQ2YsmuXYLNEpw,0,1
-2MFmbCTycnU4uPJ7jXfcA,0,2
-2Mwx1Mp10HTLlazfCBKdA,0,1
-2P96xmk5E0MCKhgwH4nJA,0,2
-2QGc6Lb0R027lz0DpWN1A,0,2
-2R--HQiUyvN4qld52oL6g,0,2
-2S3tYZEy-JbQonqdIsfqg,0,3
-2TKoFglMQvSmHSNWf6S8Q,0,1
-2ToCaDFpTNmmg3QFzxcWg,1,35
-2UBRY9opzc4GmCX3DBDdw,0,2
-2UWYfzeK65e6naWSEUz7g,0,2
-2WW_cjFa9-UwKSmbEs78Q,0,7
-2WsPmC49gP3RRk2UUUmpQ,0,1
-2YIg-PAgCMXMLxw53T29Q,0,5
-2_l2p8bdI91G3-EIjSikg,0,3
-2bLuJsMZ0WhI9daurVQNQ,0,1
-2hDBMaza_ldqnZdiU06LQ,0,9
-2hOglg7Lh8ZgclQJ9ba2w,0,7
-2isRNVb6PDuBagELL5EBw,0,6
-2lSbNMhXKYu7URjEE59qA,0,6
-2mS3lP1ccLLTg2oBB7OKQ,0,2
-2mTrGw66Sg-ipomugRlmw,0,3
-2nfJ8yK54A7Md2RzmMR4g,0,1
-2pQf1ceDZyE2ReCNbj-3A,0,15
-2pmn-oTJeybmDrL-ojwrw,0,6
-2qfXy3hcWG0GEcE8QUKQw,0,85
-2uUrtgM5fiOaCpQEnPv0g,0,2
-2uYjztVuVZpkTNAC38zdg,0,2
-2uhc4spgMqJMy0YSxConA,0,2
-2v6N3EZAE4VDkAf7q3CrA,0,1
-2wfiUn6AZm2KO0FJYakVQ,0,4
-2wh_ZsD2n5xFYgzppcxNg,0,4
-2ym8gLGnYV5uEgyMXnL7A,0,5
-2ynmEkOCP4Qg39E0O1Ruw,0,1
-33BHZKxCiREa1cfa672OQ,0,4
-33_OPx1aKM22qxioPgJ_Q,0,3
-33vxPJAFP4wWiNdMqzz0w,1,1
-34vSRcMz_RjN00dWIiQ3Q,0,3
-36lZCEYtRfW0ZR4Nsem5Q,0,5
-382X_bWhJKPJKP1VfXOmw,0,3
-38Kck4mGlkBwd6OXayZRg,0,2
-39fXC2a0X5gy-p198Z8rg,0,1
-3AVh1GtLRc-HOwORLuzaQ,0,11
-3D6AMz5nfIN6V4won4i-g,0,2
-3H_6UZGWrfl8XQsm1fBmw,0,3
-3Haoc0l9DZRSXxIHi9oJg,0,3
-3K14kIKBH3gBOLf8-XFsg,0,1
-3N9tPWHfr0FHGSU3n8f8Q,0,4
-3PHn7uGXNaOytVl1JnovQ,0,4
-3QHAylnVB-vNmCg2Rf5aw,0,3
-3SjhBm5C1ZYoG5hNUvHzQ,0,9
-3TbEJnrhu1cZdbbinol4A,0,2
-3VEk6j5XnEnOOthoY2jYQ,0,1
-3Yo-5oNDhJ3SFgCGfOyuw,0,3
-3bL-QmK7-qBYLmQuSekBw,0,2
-3cJ2k_iwauMpy1WfI4NrA,0,15
-3iE3lPp18Tn2ixqIRJB_w,0,1
-3iRcdd9CPD5mqQj8q5jXQ,0,5
-3oxnPPPU3YoxO9M1I2idg,1,20
-3pJJf-vHQfysafL0r8YsA,0,1
-3pOOtaf0CI0aTD_ke-gmw,0,2
-3pWXL_3nLFU6lcSlX1Xug,0,1
-3rvpkYkYD_N1IP4hSvD0A,0,2
-3vXcKzJA_kVZDM8Yn3w_Q,0,2
-3vv3PDgC5X4WxAaYhTavw,0,1
-3zffZUHoY8bQjGfPSoBKQ,2,80
-4-B-3mklQ8X4xpJUK7iqg,0,4
-4-MzST67P_jnX4mh3MIcw,0,4
-40RDS4F54qiGiEQUsZaXA,0,1
-45kMvS7h38CGaWugPY0rg,0,4
-461KOozus5M0Px02uyRgg,0,11
-46pFijv3f2jZH-_Ze6CQA,0,4
-47QfLVm0YvbXXz8g3RAQA,0,5
-49WY_TEa9ZEcRk_GnuLog,1,14
-4B9nqmqqWUxzbQarf40uQ,0,8
-4ERSzsFQJ481DrMaubI-Q,0,1
-4QqBR3QGhnjPBXV471EUg,0,2
-4TMQnQJW1yd6NqGRDvAeA,0,54
-4TVAE4KcLWVSXO2rOsVEg,0,1
-4_n--u4Z_SBbgz1zUKpYw,0,2
-4bIyqszGIEgqcDkhN5CuQ,0,2
-4bPFENRdTqjML8aKEL6ow,0,4
-4bpDsuRmpjWjxrtdYfJQA,0,3
-4cA4Kt0UKzGYimrZsYuQg,0,1
-4dzsToZl39O95C5KWbJbg,0,2
-4eA7Um2eiOKsGLmcXNx_w,0,10
-4g68Hwm892_KPUuW5g1_Q,0,11
-4gwgdvSq_PqOmHb70au8Q,0,4
-4h-Q_DSBq5cE1f6j35uFg,0,1
-4jHuk6gDt4sLyhNVcmGAA,0,1
-4kOf3wcZp5bvxORgsW1gA,0,5
-4lgvwr6d8ztCPlCXl-NFA,0,2
-4uT6QFVaRtc2Zmxvtd9Vg,0,1
-4w2eZqQJcS-UNuB1lCPFA,0,2
-4z8BUBG6DSLVpbFAs8HMg,0,8
-55Fcc4v2sQ51422nXXgmg,0,3
-56TP_w4VG2oNGpauDMOOQ,0,1
-59dl6bXMKpmv38TosZJlg,0,2
-5CXrj2zoTVcZG9NdCtJaw,0,1
-5DifC-lAFioAD_DLVgTMQ,0,13
-5DseNF-7fhUyLKbgr8LTA,0,1
-5FndHRwNg-xhPsctrhTbA,0,3
-5IV_IrH5D7hyip2P_w7BA,0,2
-5JxNFUpJIFEWTzp4OUcIw,0,3
-5KBZ3UmQzW_PkrjHGMuUg,0,2
-5Kbw0m7lpLDAQSX5t-fVA,0,1
-5L8zOxibac-vBrsYtxXbQ,1,38
-5MrVsxY-9Z0ykQueccwFg,0,6
-5NXoZeGBdx3Bdk70tuyCw,0,8
-5PzB11wnYLcqKEUFhPvLQ,0,1
-5TBEK1ddM41v_gqGm5oyw,0,1
-5XuRAfrjEiMN77J4gMQZQ,0,8
-5_LWiptQbtzYbrElZDX9A,0,1
-5__awbuGMHAk6cZgJEgLQ,0,5
-5brzniWtye3w__aEvCaAA,0,2
-5dd-RjojGVK9hjAMCXVZw,0,2
-5fX-D-x8viW3CX5WF5rcA,0,1
-5iyA2TptbQB9YmowvmVyQ,0,7
-5l11lAM0jSDp8JNNIc_bg,0,4
-5pn5F6pFkbrBv6L8d8CoQ,0,1
-5sQihzwgmq7tuAyUh7RSw,0,2
-5y5m3v_5ZHwlXwsp5K59Q,0,6
-5zVa6q1RPZAv4QvbiRKEQ,0,1
-628JvwpPbm05GkSAlZdTQ,0,1
-63pZrN9eEFoi-avMMx6Ug,0,7
-649HdHuChGUfmUc-JcGpA,0,1
-66jkKvMTUu31lDvFfzLWA,0,3
-6AFQalhxzBHv6flajuo_w,0,2
-6GJMc_Ln7csmvWWvY2iug,0,6
-6NrhIFET7iWi4d5538fiA,0,4
-6O_cneh21YEljiDhVX78g,0,1
-6R2wYNK-FQChXfhcBGAYw,0,5
-6SFHn0zEW06XgNCKVgQjg,0,1
-6U5r96gk6gQJLgipOn1ug,0,11
-6c_bJblLXUwoWfmYLtH_w,0,2
-6covFhiJGaI1Vt0OuYMcw,0,3
-6e0liTvH5EoB4HuncuQgA,0,3
-6g2TeogX9CCeJfU7nNKWQ,0,2
-6gD8mJAEFI-YbUBygjO8A,0,1
-6h3K1hj0d4DRcZNUtHDuw,0,117
-6kNwcnLbsyKGIjFlxMD2g,0,2
-6l_HnrJUgk0tMPSRY7lnw,0,4
-6mzdR0YjOToJ8E04Y9O0Q,0,3
-6nRhHnf3DlF3C65Jf2yaA,0,1
-6nS5flLpZcJOB2F3JfbNA,0,2
-6pKKkWhuxoQE3Oea_6_cA,0,2
-6pjRBsLbkHyGcohvu_Jkw,0,1
-6sE5v4OrVGmWxdIrbs-RQ,0,4
-6tvduBzjLI1ISfs3F_qTg,4,238
-6uLOXdJFFCB9DtjIoBzFA,0,1
-6wbKZa_u2WR0dMRN_TuNA,0,1
-73xAVllMh_O2nEAcGtbvQ,0,1
-74zTQjLpOTzgvPTsN2Z8A,0,4
-76didnxGiiMO80BjSpYsQ,0,28
-7BCZH437U5FjmNJ26llkg,0,18
-7EwIdxcRC5McO35DVfeSQ,0,32
-7H-oXvCxJzuT42ky6Db0g,0,79
-7HB0UjguXW8csOH9svG4Q,0,13
-7Mshr3cv5kpO9RRwiATdA,0,4
-7OJbmADnDB3OYJR-McKoA,0,1
-7PX_FOoCwktlunImRyZdg,0,21
-7PuYohz9dR80iGfVR_kLA,0,4
-7VzJ1aG5yuWB9LT42yhlw,0,4
-7XWJYkutqhIxLen7Grg1g,1,16
-7bRnaHp7OHz8KW-THqP4w,0,2
-7bvsSGKnY6O-JmSWc5V6g,0,2
-7d3UqQYYcBxbDH2do86sg,0,4
-7jw-5bvvtMSljgqYvvxaw,0,1
-7lwVdCGETHYCNRRB_V2Eg,0,1
-7q9m5IByOBdFUZe0qXY2Q,0,5
-7teXSpi9nqy58WUd-8yfw,0,5
-7xDmYfI15Ei-32NH96n2w,0,1
-7y-3PmmypUER2InhiU8Vw,0,4
-8-JRYJpYbCVD1nu7m_8AQ,0,2
-80pfkoY1Br4BrcGjy87JA,0,2
-81lDCanrjjACwpMTcF3tg,0,1
-82Z0wTA-nOCLUVD4XXIBA,1,5
-865Ps6xb3h1LP67JcQ3mA,0,9
-86hc_y6sbXNnSGqlaHmhQ,0,1
-8AoSGOdZyDdTpT2oqX3zQ,0,3
-8F04F54iDT6VgWPCgybug,0,13
-8F2oF0qxbdy1pJ6By_BYw,0,5
-8ILwSisSrTzcyy_Z0o9oA,0,5
-8JaNeG3etLgOVyg2gOIiA,1,20
-8NX2Ba7pNAoXbgmQSWlVA,0,3
-8O4kt8AIRhM3OUxt-pWLg,0,5
-8O8sVCnaIKHP-596zN9UA,0,23
-8Oaw94x2pYJCVP8ZtuTTw,0,14
-8PU0Z4Q2Nc-sY0eBj4DiQ,0,3
-8QlV3b_9H4BAh6LgMIr1g,0,78
-8QqdsogphMvQni14ZVXuQ,0,1
-8R_-EkGpUhBk55K9Dd4mg,0,25
-8SG5t1yznyU0fy6_CWNDA,0,1
-8ZiMXZReeTD3kwEvS0Lww,0,23
-8aBkRmrbxnBwXEYLXwzOQ,0,2
-8f0XAEkjLI5V4Ovub_9AQ,0,1
-8fOqUWFX_1qiKggIt5LnA,0,5
-8hAGEWRSKtpLZ8e3L2xhA,0,6
-8iIgtOaGx64pD8Uqj5DOQ,0,3
-8iwcXhLnyqbLgvcrJGgaw,0,34
-8jeDY-TJ_e6w7h0c--A-w,0,9
-8lx51-dbVuf0gXWSUqvdA,0,4
-8m7vEM0lK2Ab9k_6OuOeA,0,1
-8oIw0-YzvYNRydiOPyasw,0,4
-8oefCbONloutvAy9uTa-A,0,1
-8r1-nnPqKot27FJekDLCw,0,1
-8uCM_3OltKnmGsr6YvQ2w,0,1
-8wkc-r4A1NVlGOIQOAvxQ,0,2
-8wrG6WiLkSRS1JgE7jD0Q,0,12
-90qod_jZOmv7YR2lTklGA,0,2
-91Z36AdTmzIzgtMWstj8Q,0,1
-92cC6-X87HQ1DE1UHOx3w,0,4
-95mbLJsa0CxXhpaNL4LvA,6,216
-96vDEvKLQy9QGuO4OSSgg,0,8
-9A-46iJjMrKslecqdQaMg,0,6
-9AkHXYCqirZN4Sq_O4Hrg,0,1
-9Ff8WEoiFsw_mfmJ4Nlcw,0,11
-9Ir5OiFiOszIgeFgalXcw,0,17
-9ONpxJXG_ELoSxwUS5IFw,0,1
-9S_n0bktrfv3h3YIOPVfQ,0,4
-9YyInW1wapzdNZrhQJ9dg,0,38
-9dmhyBvepc08KPEHlEM0w,2,89
-9eNGMp8XiygI8t8QFuFWw,1,68
-9f4nwpQz8LbQQhadj4jnA,0,8
-9jY8blpTgfqDIkVWlE0NA,0,3
-9k9fJp0g777juhHYyrMPA,0,9
-9lHbbm5wOrS7sjHPWWWlw,0,1
-9ly39RQ8CvqxPuNZrGEbA,0,1
-9mbcOcl0oGqntP0edUWdg,0,1
-9nai28tnoylwViuJVrYEQ,2,93
-9u2uFwhlj3Yq4mG5IweoA,0,17
-9xZZLLxuQabvBDODqpM-g,0,4
-9y2L9qSbqukVl8LzEOGdg,0,2
-9yG5SmYxH8BLg4bML8VQg,0,4
-9yq6bVqOn6Uywl9KhRToA,0,6
-A4suUjxa7gNaiUMDjO42g,0,4
-A5jntJgFglQ6zwAmOiOMw,0,12
-A6iU1EJdtDr-APcJlP3yg,0,2
-A9sm-E6uQxWTJ_MuyOzFw,0,4
-AD5PiuJHgdUcAK-Vxao2A,0,152
-ADtl9bLp8wNqYX1k3KuxA,0,77
-AETcObKttrnDvksrppnLA,0,1
-AGdGGCeTS-njB_8GkUmjQ,1,5
-ALn0Ehm9SUS-AiAL5vJow,0,2
-AMDAW2MTKvNo51U59oMXw,0,6
-AQeMCtO8ejoWePm_f-2gA,0,2
-ATwvFcQWOvkHjnZ9A78wQ,0,1
-AUh0iDyhLV6OfXloHPl0Q,0,4
-AVRReI-nfsa0lKlehEojw,0,9
-AZN6ojHeKPMubDFgDK84g,1,6
-AdmS-3y6xZdw2wbMQrhrg,0,1
-AeZXaqxrLxxXEVH9KmK-g,0,10
-Aep7giC4gPb1g1WRDd07Q,0,1
-Ag1PS0_G0yGxLWv_pULiA,0,2
-AgGcbf7oX_MkGGQhaMH0g,0,2
-AgfhwHOYrsPKt-_xV_Ipg,0,4
-AlQhJ2anl3f8YL71VEG-A,0,1
-AliE9BXGQl8pIrdlpCOxQ,0,8
-AnLtSHWJjYXFu-UvpPMHA,0,1
-Ao1dnI263daxMEBDS2xiQ,0,1
-Ap4cG9Pqk9Lp6mFnBAqOg,0,1
-AqHQuD1JQBz4lUp2JRhvg,0,5
-ArzVOksIBWmtM1ey90vDQ,0,5
-As1YcTVebShW012Q2XGDw,0,5
-AtzcXIwEP6yO7rM9CM9ww,0,2
-AxKgZHxyV-oBBHNyOESAg,0,11
-AyX-C57o1YdrKNyhhg4kA,0,1
-AyySEfW8XlkDu0DDK3Keg,0,2
-B1PzLYsOSL9rda--Wr7tQ,0,6
-B38g209l34MxHFxovVR8Q,0,1
-B8uga7IGEQijKERiwuz7A,0,2
-BAOJ8aA5MCrYx_tQUyZHg,2,29
-BAUrljU90RNV-hkokLhXA,0,2
-BAXsDdm_jKJBpsmPi8FKQ,0,1
-BBqiQQCweN7ePwTlY163Q,0,7
-BEo8PDIyZd55oV-85HE6Q,0,5
-BFKA4HVeRoR1uObH0JpJw,0,8
-BF_Zr_cHV0X7vm4ghz8Zg,0,1
-BGNag2xFVQ82134RG4fpg,2,7
-BGePny4xouLAtRNgikUYg,0,3
-BHsT9MVkt7NQblr0AXZ9g,0,7
-BJ0Z28LoETB_ZsdA4Ikeg,0,3
-BOdPJnlQlLRv2aZ0nEWQw,0,3
-BS4aZAQm9u41YnB9MUASA,1,18
-BS5c6tvU9gc3JAwopiXtA,0,3
-BSf1LtnOrtCWAzmumxUpw,0,36
-BT-eBcLv9bHbw0HdPzaUA,0,6
-BVqCPibTNPCNeT0uJsiRg,0,1
-BX2FrUbRD-8kt1W4ZDEcg,0,12
-B_4pHQkzU12AMaYkkY4cw,0,14
-BakqQFgTPYruV6821gAWA,0,4
-Bb3kfdHIX1qm2RvtHnOTQ,0,4
-BbnAc9YEO6pjvJGEtFbVQ,0,39
-BddEiLOykIwvIafAVGFnQ,0,1
-Bdw-5H5C4AYSMGnAvmnzw,0,113
-Bf8BQ3yMk8U2f45r2DRKw,4,133
-BgJB7tjU6S2V1uu-MHrUg,0,1
-BgtzumTranKcndEsjIGkA,0,2
-Biboxy2pG3MovBOF_r4SQ,0,10
-BmqghX1sv7sgsxOIS2yAg,1,36
-BplplCOayCupKnRVZcclw,1,7
-Btu8zliXgeSH4eBm1u9Rw,0,8
-BuZrOMqgO4OU_UKYSddAg,0,8
-Bv-HHUs8aHzDrdWcZHn8w,2,16
-BxWyEIQ6wypT-37MzZizQ,0,110
-C1TuPTKUq-s5VPAcg81Sg,0,8
-C8S2OPEOI1fL-2Q41tWVA,3,78
-C8sSrFqaCxp51pyo-fQLQ,1,27
-CBW4yvallpWtfWBbZCHqg,0,3
-CDwCct1bOvKM1EITNPrGw,0,1
-CFKgOGpYPIt8NnqidaZCw,1,48
-CHzSNANra-TCIWYFfpR0Q,1,19
-CI60uJuAhu1abMRMK2mXQ,0,4
-CIKKPeyjqN5SD7lVfIUZQ,0,1
-CLD5kiPRZJ3QyulrmFMPg,0,6
-CLTZ0cO-ooKDDmXHFoGMg,0,5
-CNXJkqeJmLDvmTxGmOVww,0,60
-CQokjildrY7UZezXCdEBw,0,5
-CRouu447RBTLCLUKSt9TA,0,3
-CTmg9JYXWQkXnnW9uw8vA,0,3
-CU5HV4sYkBuwdfyOWZEDA,0,3
-CWrMIPVlrnKlX3iUFW_SA,0,9
-CZwX0Fy14DGCY_2aFkhKg,0,9
-Ca6Hx-G1kOR8ycPRybr5A,0,20
-CbDQXiuKzPQ0_jiUz03aw,0,35
-Cc-TvbgYzD1rhNRSIuMfg,0,2
-CdstAUdEvci8GeJG8owpQ,0,2
-CfFjcCcGGDM9MVH_d42RQ,1,58
-CfqFIH6rxUxJL9gR-k_XA,0,10
-ClafaRWkSRTfieIzO4r3Q,0,10
-Co96GK9vVZcRUJJUrUUNQ,0,3
-CstlDeWmFnZWs8x4OXt7Q,0,1
-CwAVLKHqQzX55Xxap_1gw,0,3
-D24iSlpY6KhaDbi_bRv9g,0,2
-D2vGSq_SvuCmHdqsDxzeA,0,6
-D6sOOfxh-3n0C8uQiN6Hw,0,1
-D9NFU_SZpp5J7VCSsPp1Q,0,8
-DDs_psdA8v9fsb-7-LYvw,0,1
-DHKF52ALa4B2ls1V6OlxA,0,1
-DHp9Um9tV2V2b2Cq3BgDQ,0,3
-DIZwl4igqddB_RQr_u3sg,0,2
-DJpOLL31G-lq3ALlWgZlA,0,2
-DLxOk2wZblIJ_8uLugQUQ,0,1
-DOE4Qs8IMfgkvshYKfC7w,0,1
-DQqRhwnSUB1hGHqaKk6wA,0,2
-DU8jf5nA1_yaOqsKsLqmw,0,3
-DUQQsE2QvFIuqO5EiChQA,0,4
-DUbOEoenPbeJu35e9Ukrg,0,10
-DXkzUUoi3HvD-YSfOormw,0,1
-DYPu72JHFKno3lAaUWyFw,2,33
-DaXLvd3M8OACEEuNR-BDQ,0,5
-DcE_4T0_iRKGLARmjsjUw,0,9
-De4AV1Fx67mDMGrFOw44Q,1,63
-DeOH7G9Q_-PetCHJNj2gg,0,7
-DgLrAuOKilHSeH8gFheEw,1,20
-DkhPijabXuTNvNteIpRPw,0,12
-DnHJe6KzF2hRv8H2IQ78g,0,2
-DnaKAs2oK3rXfrjSvn9ew,1,72
-Dnh48f029YNugtMKkkI-Q,1,101
-DrDzpZaMrNnH55ZVyTXRQ,0,55
-DtaPJJ-beogNkDKusGhlA,0,9
-Du1WSRseqUXbCt_K-D-ww,0,4
-DueqlZGcmWYmYvTVVtABw,0,1
-DzExXZ1QrBkCU-NWJasVA,0,1
-DzqnAgeAA1vnLEYp5ju3A,0,1
-E0MTAQNejeAQxo4Yk862w,0,4
-E36wqdb06u9F6zZ-zrgOw,0,1
-E7QkLxzR1rhR15j3sW9wQ,1,2
-E8NZcjSEYozprJ1Ld9tDg,0,3
-E99ntlcOByVayPyA9Ak8A,0,4
-ECS2TgyvvTjCqFNYCBfJA,0,1
-EHR41dNT3SZZ-oflUca0Q,0,1
-EKDN1BbaPQD4FTPD9YNCw,0,7
-ELYTUGwrLaSMrhn1blTwg,0,7
-EOkXdih0os9dWdSe3W8kA,0,3
-EPn4MPf6HanAi2dQvoLWw,0,5
-ERhX9pa3jIVlZtNp97RCA,0,2
-ETLq73fgrT_POdQ8qaHvg,0,1
-EUeA0Yl8c0qOXilhvx_lg,0,1
-EV44odn1IVtyo4pNkH83A,0,4
-EVu9Hy0YzUvfCBc0_1cgQ,0,4
-EVzfYrS-q9rhEMfZ8EK8Q,0,2
-EX863eYHS-cutthfYhG7A,0,3
-EX_qttyhm5YNb8NWtAcCQ,0,12
-EcgPVJpwOYJGjkg4YRBhw,0,34
-EfU6CLbv5b2oB5-bDnZ-w,0,8
-ElDqujEn1u64ynQr0bX7g,0,2
-EmzCq1b_diV2e8HJilTlQ,0,7
-EnsDiGk4UhHQx-E4dwQEA,0,2
-Enu_Cc8lJ-yVcRvatf0hw,0,1
-EohS3nXZGl6odE9Lx5BSw,0,3
-EqV8SJKhWoXETrH4IIj2g,0,2
-ErwgUmZ1-jHW_rSu55jlg,0,21
-Et-GWBzbLaWV45xMpLwKA,0,1
-Eu04UHRqmGGyvYRDY8-tg,2,177
-EwVs_4fsdWoHebCOa6_FA,0,3
-Ewxv_Wc1uQzJQQBeQJWyA,0,6
-Exy3mLCqzh-MMIqeuJ4Tg,0,8
-F-M534mGht4I0H9dqlR9w,0,1
-F0B5F1YLx7093otwgboxw,0,3
-F2zEpel2C-v_outnOn6IQ,0,2
-F4_kxPQaDTMGlGpJqFplg,0,3
-F5mm0-YeCI7viSiOwVAAw,0,68
-F6uKOdNYRV3ejbn7MiVNA,0,12
-FCUVf01SPTwVm5tCyu8Lw,0,1
-FDkvLmwaBrtVgYFqEWeWA,0,3
-FHjXYCSizyNgUv-EXn6Yg,0,4
-FLnsWAa4AGEW4NgE8Fqew,0,238
-FNquqGseSCVMWo7KbK-Tg,1,65
-FPc3kwUU9GTDd4LzurvTQ,0,4
-FRCGEz-NTsnhuITT5pYqg,0,2
-FRzFwd76Et2mr0wkpngEA,0,5
-FWhwGTP9YsV_5ONgdQ4hg,0,1
-FXjYIvuRXsH8t2hl2jDqA,0,1
-FXxZWNlJ21jQKjc9UlHJg,0,4
-FZxMD-3aXsy9BI1liKqCg,0,1
-F_NSIK1YuRulVV7IlbeuQ,0,1
-Far2ZzTrDQaqfe_BUlaPQ,0,2
-FcZY7a7qgxTUlTvwuyJnQ,0,41
-FcuxZqsQ0FO35GEXExwjw,0,12
-FhAr2wku-yZf5WWNM1WOw,0,1
-Fi1xgPZtumxOkhirCBNiw,0,4
-Fk0ZMqBt36yTvICYk23dA,0,1
-Fke9Hz1QnC-JaTqgVhhRw,0,2
-FlrlELIGmCqdt_JxbdFgg,0,5
